t ax ay az wx wy wz
4.1000 0.4650150 9.3105335 -0.3395260 -1.2686673 -0.7639985 -0.1594412
4.1200 0.3112710 9.3184723 -0.3415534 -1.2705811 -0.7629167 -0.1403890
4.1400 0.1608659 9.3266703 -0.3433492 -1.2716185 -0.7615380 -0.1220371
4.1600 0.0150933 9.3350448 -0.3452308 -1.2718032 -0.7598625 -0.1043945
4.1800 -0.1270200 9.3437101 -0.3467806 -1.2711599 -0.7578908 -0.0874689
4.2000 -0.2639770 9.3525628 -0.3483438 -1.2697143 -0.7556238 -0.0712668
4.2200 -0.3965841 9.3616900 -0.3496695 -1.2674931 -0.7530628 -0.0557939
4.2400 -0.5237704 9.3710202 -0.3509713 -1.2645235 -0.7502092 -0.0410541
4.2600 -0.6465273 9.3806562 -0.3518415 -1.2608339 -0.7470652 -0.0270507
4.2800 -0.7627592 9.3904227 -0.3529893 -1.2564533 -0.7436329 -0.0137853
4.3000 -0.8742850 9.4004941 -0.3536403 -1.2514110 -0.7399151 -0.0012588
4.3200 -0.9800610 9.4107839 -0.3541140 -1.2457375 -0.7359147 0.0105296
4.3400 -1.0794998 9.4212313 -0.3548007 -1.2394632 -0.7316350 0.0215814
4.3600 -1.1737035 9.4319562 -0.3548406 -1.2326195 -0.7270796 0.0318996
4.3800 -1.2615283 9.4428330 -0.3550233 -1.2252377 -0.7222527 0.0414883
4.4000 -1.3433455 9.4538977 -0.3550154 -1.2173497 -0.7171583 0.0503526
4.4200 -1.4193327 9.4651598 -0.3546848 -1.2089876 -0.7118013 0.0584989
4.4400 -1.4888995 9.4765486 -0.3543745 -1.2001837 -0.7061864 0.0659347
4.4600 -1.5526551 9.4881058 -0.3538174 -1.1909703 -0.7003189 0.0726684
4.4800 -1.6103839 9.4997990 -0.3530288 -1.1813800 -0.6942044 0.0787098
4.5000 -1.6616972 9.5115711 -0.3522419 -1.1714450 -0.6878484 0.0840695
4.5200 -1.7074334 9.5234730 -0.3511868 -1.1611978 -0.6812572 0.0887594
4.5400 -1.7471796 9.5354480 -0.3499824 -1.1506705 -0.6744371 0.0927920
4.5600 -1.7811382 9.5474888 -0.3485693 -1.1398952 -0.6673944 0.0961812
4.5800 -1.8089929 9.5595325 -0.3472634 -1.1289035 -0.6601361 0.0989416
4.6000 -1.8318974 9.5716608 -0.3454714 -1.1177270 -0.6526692 0.1010889
4.6200 -1.8485238 9.5837184 -0.3439180 -1.1063965 -0.6450008 0.1026396
4.6400 -1.8606961 9.5958378 -0.3418545 -1.0949428 -0.6371384 0.1036110
4.6600 -1.8672137 9.6078789 -0.3398332 -1.0833959 -0.6290895 0.1040214
4.6800 -1.8685574 9.6198456 -0.3378144 -1.0717854 -0.6208619 0.1038898
4.7000 -1.8653225 9.6317602 -0.3355106 -1.0601402 -0.6124635 0.1032358
4.7200 -1.8575812 9.6435878 -0.3330752 -1.0484887 -0.6039023 0.1020801
4.7400 -1.8451276 9.6552773 -0.3305771 -1.0368585 -0.5951866 0.1004437
4.7600 -1.8282710 9.6668121 -0.3281201 -1.0252764 -0.5863246 0.0983485
4.7800 -1.8075966 9.6782116 -0.3254197 -1.0137687 -0.5773246 0.0958168
4.8000 -1.7833467 9.6894583 -0.3224813 -1.0023606 -0.5681952 0.0928717
4.8200 -1.7548208 9.7004473 -0.3198095 -0.9910765 -0.5589448 0.0895367
4.8400 -1.7234155 9.7112682 -0.3168078 -0.9799399 -0.5495820 0.0858356
4.8600 -1.6883969 9.7218165 -0.3139379 -0.9689736 -0.5401154 0.0817929
4.8800 -1.6511794 9.7321838 -0.3105892 -0.9581992 -0.5305537 0.0774335
4.9000 -1.6102793 9.7421933 -0.3077226 -0.9476373 -0.5209054 0.0727823
4.9200 -1.5676668 9.7519925 -0.3043520 -0.9373077 -0.5111792 0.0678650
4.9400 -1.5222426 9.7614407 -0.3012587 -0.9272289 -0.5013837 0.0627071
4.9600 -1.4750179 9.7705992 -0.2979482 -0.9174186 -0.4915274 0.0573345
4.9800 -1.4262711 9.7794538 -0.2945234 -0.9078933 -0.4816187 0.0517735
5.0000 -1.3754083 9.7879249 -0.2912383 -0.8986684 -0.4716663 0.0460501
5.0200 -1.3233262 9.7960550 -0.2879216 -0.8897582 -0.4616783 0.0401906
5.0400 -1.2702219 9.8038361 -0.2844871 -0.8811760 -0.4516630 0.0342214
5.0600 -1.2163641 9.8112606 -0.2809806 -0.8729339 -0.4416287 0.0281688
5.0800 -1.1611698 9.8182551 -0.2776541 -0.8650428 -0.4315832 0.0220589
5.1000 -1.1059215 9.8249001 -0.2741972 -0.8575127 -0.4215346 0.0159180
5.1200 -1.0500271 9.8311262 -0.2708189 -0.8503522 -0.4114906 0.0097721
5.1400 -0.9943119 9.8369824 -0.2672805 -0.8435691 -0.4014588 0.0036470
5.1600 -0.9384459 9.8424201 -0.2638050 -0.8371697 -0.3914466 -0.0024318
5.1800 -0.8824661 9.8474203 -0.2605759 -0.8311594 -0.3814613 -0.0084389
5.2000 -0.8271487 9.8520432 -0.2570937 -0.8255427 -0.3715100 -0.0143492
5.2200 -0.7723991 9.8562595 -0.2536541 -0.8203226 -0.3615995 -0.0201381
5.2400 -0.7177698 9.8600216 -0.2504337 -0.8155014 -0.3517366 -0.0257814
5.2600 -0.6647779 9.8634475 -0.2469060 -0.8110801 -0.3419278 -0.0312550
5.2800 -0.6115746 9.8663716 -0.2438925 -0.8070587 -0.3321793 -0.0365357
5.3000 -0.5603792 9.8689822 -0.2403731 -0.8034363 -0.3224972 -0.0416006
5.3200 -0.5096869 9.8711376 -0.2372848 -0.8002109 -0.3128873 -0.0464272
5.3400 -0.4604400 9.8729243 -0.2340384 -0.7973796 -0.3033553 -0.0509937
5.3600 -0.4123040 9.8743079 -0.2309775 -0.7949385 -0.2939063 -0.0552790
5.3800 -0.3656461 9.8753260 -0.2278501 -0.7928827 -0.2845457 -0.0592625
5.4000 -0.3203281 9.8759672 -0.2248309 -0.7912067 -0.2752782 -0.0629241
5.4200 -0.2767232 9.8762703 -0.2217436 -0.7899038 -0.2661085 -0.0662447
5.4400 -0.2342625 9.8761931 -0.2188889 -0.7889667 -0.2570409 -0.0692058
5.4600 -0.1935541 9.8757957 -0.2160367 -0.7883872 -0.2480796 -0.0717894
5.4800 -0.1543581 9.8750736 -0.2131596 -0.7881564 -0.2392284 -0.0739787
5.5000 -0.1167274 9.8740377 -0.2104168 -0.7882647 -0.2304909 -0.0757572
5.5200 -0.0808831 9.8727206 -0.2077173 -0.7887017 -0.2218706 -0.0771097
5.5400 -0.0464880 9.8711183 -0.2049524 -0.7894566 -0.2133704 -0.0780213
5.5600 -0.0135351 9.8692345 -0.2025007 -0.7905176 -0.2049933 -0.0784784
5.5800 0.0177463 9.8671179 -0.1999254 -0.7918727 -0.1967419 -0.0784679
5.6000 0.0474576 9.8647717 -0.1975043 -0.7935091 -0.1886185 -0.0779779
5.6200 0.0756801 9.8622171 -0.1950423 -0.7954138 -0.1806252 -0.0769971
5.6400 0.1025926 9.8594569 -0.1927375 -0.7975731 -0.1727639 -0.0755151
5.6600 0.1279840 9.8565320 -0.1904686 -0.7999729 -0.1650362 -0.0735226
5.6800 0.1518990 9.8534637 -0.1882024 -0.8025990 -0.1574434 -0.0710112
5.7000 0.1749554 9.8502270 -0.1861468 -0.8054365 -0.1499867 -0.0679731
5.7200 0.1961509 9.8469293 -0.1838644 -0.8084705 -0.1426671 -0.0644018
5.7400 0.2168792 9.8434784 -0.1820477 -0.8116858 -0.1354851 -0.0602915
5.7600 0.2362275 9.8399849 -0.1799937 -0.8150669 -0.1284413 -0.0556374
