t lat lon h Vxg Vyg Vzg pitch roll tHdg
3.2200 37.6171006 -122.3663647 31.0596134 12.9314963 -1.2666064 -22.3615564 4.2777447 4.0910586 295.1172036
3.2400 37.6171029 -122.3663698 31.0340843 12.9716274 -1.2764548 -22.4324644 4.2497853 4.0866373 295.1268446
3.2600 37.6171052 -122.3663749 31.0083635 13.0125144 -1.2860430 -22.5046885 4.2223763 4.0814057 295.1366830
3.2800 37.6171076 -122.3663800 30.9824557 13.0540509 -1.2953897 -22.5780257 4.1955260 4.0753729 295.1467182
3.3000 37.6171099 -122.3663852 30.9563654 13.0961266 -1.3045140 -22.6522687 4.1692420 4.0685486 295.1569498
3.3200 37.6171123 -122.3663903 30.9300967 13.1386356 -1.3134345 -22.7271972 4.1435314 4.0609434 295.1673771
3.3400 37.6171147 -122.3663955 30.9036533 13.1814690 -1.3221703 -22.8026214 4.1184007 4.0525687 295.1779988
3.3600 37.6171170 -122.3664007 30.8770385 13.2245218 -1.3307398 -22.8783339 4.0938559 4.0434366 295.1888139
3.3800 37.6171194 -122.3664059 30.8502553 13.2676867 -1.3391614 -22.9541231 4.0699022 4.0335599 295.1998207
3.4000 37.6171218 -122.3664111 30.8233062 13.3108616 -1.3474532 -23.0298084 4.0465444 4.0229522 295.2110176
3.4200 37.6171242 -122.3664164 30.7961935 13.3539421 -1.3556329 -23.1051776 4.0237867 4.0116277 295.2224025
3.4400 37.6171266 -122.3664216 30.7689192 13.3968292 -1.3637178 -23.1800458 4.0016324 3.9996014 295.2339732
3.4600 37.6171290 -122.3664269 30.7414847 13.4394227 -1.3717247 -23.2542367 3.9800846 3.9868886 295.2457273
3.4800 37.6171315 -122.3664322 30.7138913 13.4816285 -1.3796698 -23.3275558 3.9591454 3.9735056 295.2576620
3.5000 37.6171339 -122.3664375 30.6861399 13.5233518 -1.3875687 -23.3998270 3.9388166 3.9594690 295.2697744
3.5200 37.6171363 -122.3664428 30.6582312 13.5645029 -1.3954366 -23.4708913 3.9190991 3.9447960 295.2820614
3.5400 37.6171388 -122.3664481 30.6301654 13.6049946 -1.4032877 -23.5405725 3.8999934 3.9295043 295.2945197
3.5600 37.6171412 -122.3664535 30.6019427 13.6447417 -1.4111356 -23.6087204 3.8814993 3.9136121 295.3071455
3.5800 37.6171437 -122.3664589 30.5735629 13.6836643 -1.4189933 -23.6751851 3.8636159 3.8971380 295.3199352
3.6000 37.6171461 -122.3664642 30.5450254 13.7216855 -1.4268726 -23.7398124 3.8463418 3.8801010 295.3328846
3.6200 37.6171486 -122.3664696 30.5163297 13.7587309 -1.4347848 -23.8024785 3.8296749 3.8625205 295.3459895
3.6400 37.6171511 -122.3664751 30.4874749 13.7947330 -1.4427404 -23.8630469 3.8136127 3.8444163 295.3592456
3.6600 37.6171536 -122.3664805 30.4584599 13.8296251 -1.4507487 -23.9214027 3.7981517 3.8258084 295.3726481
3.6800 37.6171561 -122.3664859 30.4292836 13.8633458 -1.4588185 -23.9774314 3.7832883 3.8067170 295.3861924
3.7000 37.6171586 -122.3664914 30.3999444 13.8958385 -1.4669573 -24.0310270 3.7690179 3.7871627 295.3998732
3.7200 37.6171611 -122.3664968 30.3704410 13.9270505 -1.4751718 -24.0820926 3.7553355 3.7671663 295.4136855
3.7400 37.6171636 -122.3665023 30.3407716 13.9569347 -1.4834681 -24.1305400 3.7422357 3.7467485 295.4276240
3.7600 37.6171661 -122.3665078 30.3109346 13.9854446 -1.4918509 -24.1763027 3.7297122 3.7259304 295.4416830
3.7800 37.6171686 -122.3665133 30.2809281 14.0125434 -1.5003241 -24.2192884 3.7177583 3.7047331 295.4558569
3.8000 37.6171711 -122.3665188 30.2507503 14.0381946 -1.5088909 -24.2594531 3.7063670 3.6831777 295.4701399
3.8200 37.6171736 -122.3665243 30.2203992 14.0623682 -1.5175534 -24.2967433 3.6955304 3.6612855 295.4845260
3.8400 37.6171762 -122.3665298 30.1898730 14.0850386 -1.5263127 -24.3311024 3.6852404 3.6390775 295.4990091
3.8600 37.6171787 -122.3665353 30.1591696 14.1061837 -1.5351691 -24.3625033 3.6754882 3.6165748 295.5135830
3.8800 37.6171812 -122.3665409 30.1282871 14.1257867 -1.5441221 -24.3909155 3.6662647 3.5937986 295.5282413
3.9000 37.6171838 -122.3665464 30.0972237 14.1438349 -1.5531701 -24.4163212 3.6575602 3.5707696 295.5429775
3.9200 37.6171863 -122.3665519 30.0659775 14.1603198 -1.5623111 -24.4387160 3.6493646 3.5475087 295.5577851
3.9400 37.6171889 -122.3665575 30.0345467 14.1752376 -1.5715416 -24.4580779 3.6416674 3.5240364 295.5726575
3.9600 37.6171914 -122.3665630 30.0029295 14.1885880 -1.5808581 -24.4744380 3.6344578 3.5003730 295.5875879
3.9800 37.6171940 -122.3665686 29.9711244 14.2003745 -1.5902557 -24.4877870 3.6277243 3.4765388 295.6025695
4.0000 37.6171965 -122.3665741 29.9391298 14.2106069 -1.5997290 -24.4981560 3.6214555 3.4525535 295.6175953
4.0200 37.6171991 -122.3665797 29.9069444 14.2192957 -1.6092721 -24.5055717 3.6156392 3.4284368 295.6326586
4.0400 37.6172016 -122.3665852 29.8745668 14.2264574 -1.6188782 -24.5100648 3.6102631 3.4042077 295.6477523
4.0600 37.6172042 -122.3665908 29.8419960 14.2321101 -1.6285400 -24.5116793 3.6053146 3.3798852 295.6628694
4.0800 37.6172067 -122.3665964 29.8092310 14.2362771 -1.6382495 -24.5104639 3.6007809 3.3554877 295.6780028
4.1000 37.6172093 -122.3666019 29.7762711 14.2389850 -1.6479984 -24.5064714 3.5966486 3.3310334 295.6931455
4.1200 37.6172119 -122.3666075 29.7431155 14.2402630 -1.6577777 -24.4997637 3.5929044 3.3065398 295.7082904
4.1400 37.6172144 -122.3666130 29.7097640 14.2401419 -1.6675781 -24.4903982 3.5895347 3.2820242 295.7234305
4.1600 37.6172170 -122.3666186 29.6762162 14.2386585 -1.6773897 -24.4784584 3.5865256 3.2575032 295.7385587
4.1800 37.6172195 -122.3666241 29.6424721 14.2358485 -1.6872025 -24.4640065 3.5838632 3.2329932 295.7536679
4.2000 37.6172221 -122.3666297 29.6085320 14.2317545 -1.6970060 -24.4471347 3.5815333 3.2085096 295.7687511
4.2200 37.6172246 -122.3666352 29.5743962 14.2264169 -1.7067896 -24.4279185 3.5795216 3.1840679 295.7838014
4.2400 37.6172272 -122.3666407 29.5400653 14.2198816 -1.7165425 -24.4064545 3.5778139 3.1596825 295.7988118
4.2600 37.6172297 -122.3666463 29.5055403 14.2121935 -1.7262533 -24.3828178 3.5763956 3.1353675 295.8137755
4.2800 37.6172323 -122.3666518 29.4708221 14.2034027 -1.7359113 -24.3571276 3.5752523 3.1111363 295.8286855
